 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0.5
 140 35085 0 2.2052062788837116E-4 1.010737573857089 0 0
 141 35170 0 2.1308528677460527E-4 1.010809240538704 0 0
 142 35249 0 1.8135442810747826E-4 1.0109412066113703 0 0
 143 35343 0 2.125465173282839E-4 1.0110045735142288 0 0
 144 35417 0 2.50054714125664E-4 1.0111317487705396 0 0
 145 35488 0 2.3965572363410638E-4 1.0111727334579108 0 0
 146 35549 0 2.1468602212449842E-4 1.0112371557138184 0 0
 147 35636 0 1.6781084168176924E-4 1.0113114012847195 0 0
 148 35691 0 1.6876870030262095E-4 1.011411049923994 0 0
 149 35794 0 1.5189052187625774E-4 1.0115089985586951 0 0
 150 35857 0 1.581090200956946E-4 1.0116349333134502 0 0
 151 35919 0 1.08607529393884E-4 1.0116638288446311 0 0
 152 35982 0 1.0368486761678445E-4 1.011712891146007 0 0
 153 36046 0 8.709166927190439E-5 1.0117605046749698 0 0
 154 36100 0 8.539984092292437E-5 1.011816461898366 0 0
 155 36175 0 8.7161607092001E-5 1.0119084761662327 0 0
 156 36230 0 6.678558867109648E-5 1.0119625146243718 0 0
 157 36306 0 6.702833109561595E-5 1.0120548921884074 0 0
 158 36360 0 2.6579573071513767E-5 1.0121366238432001 0 0
 159 36417 0 6.36948763513027E-5 1.0121701560308671 0 0
 160 36473 0 5.8088176104900685E-5 1.012221059728102 0 0
 161 36526 0 3.818684812955291E-5 1.0122580366550409 0 0
 162 36567 0 3.051819149144759E-5 1.012281783746055 0 0
 163 36623 0 1.7763172422224724E-5 1.012309239363725 0 0
 164 36667 0 3.4352229746516454E-5 1.0123999237680075 0 0
 165 36724 0 -1.3610616045159377E-5 1.0124864415632118 0 0
 166 36767 0 -3.722797097543955E-5 1.0125585890991837 0 0
 167 36821 0 -5.590920243170706E-5 1.0126363954450854 0 0
 168 36875 0 -1.04530318184E-4 1.0126815350641614 0 0
 169 36937 0 -1.523442954321499E-4 1.0128248019866435 0 0
 170 36989 0 -1.6372110627645807E-4 1.0128951298914985 0 0
 171 37032 0 -2.035742304179726E-4 1.0129716905359838 0 0
 172 37078 0 -2.5303159550685067E-4 1.013003593039718 0 0
 173 37120 0 -2.537875426264854E-4 1.01309322764294 0 0
 174 37155 0 -2.7701250134674004E-4 1.0131315975895074 0 0
 175 37215 0 -2.572553881864078E-4 1.0132260017679708 0 0
 176 37266 0 -3.3743142898717224E-4 1.0132383671261374 0 0
 177 37307 0 -3.9284964143043233E-4 1.0133450685746694 0 0
 178 37347 0 -4.3170702244143226E-4 1.0133988651484773 0 0
 179 37399 0 -4.316063515749217E-4 1.0134272395584787 0 0
 180 37446 0 -4.453937483716583E-4 1.0135253484986018 0 0
 181 37496 0 -4.308302471399677E-4 1.01359360422736 0 0
 182 37534 0 -4.743668372710046E-4 1.0136415371575254 0 0
 183 37574 0 -4.963219552024764E-4 1.013665337783122 0 0
 184 37617 0 -5.024261914254436E-4 1.0137171698635787 0 0
 185 37661 0 -5.173968500746722E-4 1.0138130906852394 0 0
 186 37702 0 -5.570625350214774E-4 1.0138731262376084 0 0
 187 37740 0 -5.571061224753514E-4 1.0139204648402367 0 0
 188 37775 0 -5.885397614449251E-4 1.013962388528196 0 0
 189 37818 0 -5.818828287236341E-4 1.01399373195603 0 0
 190 37850 0 -6.136284594952876E-4 1.0140664807792303 0 0
 191 37880 0 -6.268394233886239E-4 1.0140976190082474 0 0
 192 37910 0 -6.581241302308096E-4 1.0141390022101513 0 0
 193 37960 0 -6.611320953109563E-4 1.0142173432602168 0 0
 194 37997 0 -6.882597742295603E-4 1.0142200902444036 0 0
 195 38033 0 -6.737227748869368E-4 1.014273192333549 0 0
 196 38065 0 -6.879146982702518E-4 1.0142722646951734 0 0
 197 38095 0 -7.123134842138276E-4 1.0143097682494802 0 0
 198 38132 0 -7.252523992130976E-4 1.0143370929310498 0 0
 199 38170 0 -7.549836809851667E-4 1.0143912088587415 0 0
 200 38204 0 -7.801561299533047E-4 1.0144445869974696 0 0
 201 38243 0 -8.31999192476664E-4 1.0145045521889313 0 0
 202 38273 0 -8.432057734486585E-4 1.0145812021399827 0 0
 203 38315 0 -8.28355442669056E-4 1.0146510509125173 0 0
 204 38351 0 -8.277483913438096E-4 1.0146953054123629 0 0
 205 38383 0 -8.560799102093925E-4 1.014748221861773 0 0
 206 38413 0 -8.595183151295611E-4 1.0147478347484833 0 0
 207 38441 0 -8.651250118612891E-4 1.0148050397822814 0 0
 208 38480 0 -8.368491868721252E-4 1.0148662328164932 0 0
 209 38509 0 -8.635704056092036E-4 1.0149526709918548 0 0
 210 38533 0 -8.499989240909379E-4 1.015036088604195 0 0
 211 38560 0 -8.489529947670606E-4 1.0150955347962956 0 0
 212 38583 0 -8.437782851927773E-4 1.0151263304998075 0 0
 213 38611 0 -8.788828421281452E-4 1.0151486760391117 0 0
 214 38640 0 -8.698484683937892E-4 1.0152189247754677 0 0
 215 38665 0 -8.780920454835528E-4 1.0152289284817224 0 0
 216 38701 0 -9.059880648873281E-4 1.0153073093625609 0 0
 217 38734 0 -8.723457008195096E-4 1.0153870683692152 0 0
 218 38766 0 -9.243617721812102E-4 1.0154500232477832 0 0
 219 38789 0 -9.257533145730196E-4 1.0154521720053256 0 0
 220 38811 0 -9.444756215976975E-4 1.0155047433449036 0 0
 221 38838 0 -9.633026044042867E-4 1.0155635076691893 0 0
 222 38865 0 -9.43131539551918E-4 1.0156176726543233 0 0
 223 38888 0 -9.505274676794275E-4 1.0156667810035749 0 0
 224 38917 0 -9.388259111155648E-4 1.0157258377356562 0 0
 225 38939 0 -9.533256149251936E-4 1.0157905959888756 0 0
 226 38958 0 -9.8265616348404E-4 1.0158049041507835 0 0
 227 38987 0 -0.0010040701835799643 1.015867999877409 0 0
 228 39015 0 -0.001001703426475837 1.0159198317817992 0 0
 229 39035 0 -0.0010135515981939418 1.0160069934839076 0 0
 230 39064 0 -0.0010096985713078691 1.016040166038145 0 0
 231 39086 0 -0.0010017448099856891 1.016120069318503 0 0
 232 39100 0 -0.0010389176939159387 1.0161655785731376 0 0
 233 39132 0 -0.0010285696428281924 1.0162143617675783 0 0
 234 39153 0 -0.0010666939344815922 1.0162904750844832 0 0
 235 39169 0 -0.0010557181558359576 1.0163318152960268 0 0
 236 39192 0 -0.0010294286272320152 1.0164067713695215 0 0
 237 39214 0 -0.0010601441416360775 1.016449287667654 0 0
 238 39230 0 -0.0010810351920290855 1.0165156029563718 0 0
 239 39251 0 -0.0010977200646652891 1.016567607337726 0 0
 240 39268 0 -0.0011000121090490214 1.0166559848195476 0 0
 241 39289 0 -0.0011136110056168555 1.0167698558283802 0 0
 242 39312 0 -0.0011520500038606103 1.0168126565788422 0 0
 243 39329 0 -0.0011661455452859591 1.016883929099717 0 0
 244 39343 0 -0.0011852669467267518 1.016926598276355 0 0
 245 39359 0 -0.0012027094821252895 1.0170145738476608 0 0
 246 39380 0 -0.00120633505813779 1.01710390932556 0 0
 247 39390 0 -0.0012180552211303144 1.0171341438404273 0 0
 248 39405 0 -0.0011878661190969642 1.017182174451375 0 0
 249 39417 0 -0.001208973687422454 1.017259387055467 0 0
 250 39430 0 -0.0012131596705059005 1.0173189282290664 0 0
 251 39439 0 -0.0012078415939201829 1.0173882842371893 0 0
 252 39443 0 -0.0012085057709091812 1.0174771111401435 0 0
 253 39459 0 -0.0012103648870590942 1.0174856656266322 0 0
 254 39472 0 -0.001225130149066565 1.0175633883223167 0 0
 255 39500 0 -0.0012518304073702354 1.017656635704105 0 0
 256 39520 0 -0.001270660791218371 1.0177453314632539 0 0
 257 39539 0 -0.0012861337599798467 1.0178164932814107 0 0
 258 39553 0 -0.001288388028905954 1.0178814035496921 0 0
 259 39576 0 -0.0013453945589389572 1.0179666344359068 0 0
 260 39586 0 -0.0013594241046474827 1.0180513683984356 0 0
 261 39599 0 -0.0013626922209190816 1.0180721420916354 0 0
 262 39607 0 -0.001357458348014823 1.0181553539867987 0 0
 263 39622 0 -0.001324542009959007 1.0182147515461588 0 0
 264 39642 0 -0.0013225975271313052 1.018245561667363 0 0
 265 39654 0 -0.0013083506227372446 1.018328457052491 0 0
 266 39662 0 -0.0013076249745516617 1.0183971902184719 0 0
 267 39677 0 -0.0013297023188264102 1.0185171492068459 0 0
 268 39679 0 -0.0013276351530227748 1.0186120433363692 0 0
 269 39693 0 -0.0013631334822517978 1.0187452574388927 0 0
 270 39700 0 -0.0013616337269997804 1.0188172109933444 0 0
 271 39706 0 -0.0013622879045337608 1.018894448385032 0 0
 272 39717 0 -0.0013448872133927806 1.0189524035855402 0 0
 273 39729 0 -0.001379530962558923 1.0190387182027894 0 0
 274 39742 0 -0.0014042983088259047 1.0191580056331704 0 0
 275 39750 0 -0.0014107230788181024 1.0192415707020213 0 0
 276 39759 0 -0.0014406777763323146 1.0192908984377411 0 0
 277 39764 0 -0.001437197094406455 1.0193710985525817 0 0
 278 39774 0 -0.0014360073960937548 1.019481630732489 0 0
 279 39779 0 -0.0014503627558715923 1.0195839427477942 0 0
 280 39780 0 -0.0014644911140220672 1.0196523773255892 0 0
 281 39788 0 -0.001453831434564734 1.0197283151294376 0 0
 282 39798 0 -0.0014638746429292942 1.0198215878445578 0 0
 283 39808 0 -0.001451769426620736 1.019922226497018 0 0
 284 39827 0 -0.0014647585946766814 1.0200271808741217 0 0
 285 39840 0 -0.0014871063910929124 1.0200874466717385 0 0
 286 39845 0 -0.001512241251106749 1.0202117922697305 0 0
 287 39846 0 -0.0015062742691941567 1.0203185068025453 0 0
 288 39857 0 -0.0015274223751998465 1.0204033534982968 0 0
 289 39853 0 -0.0015123095460954287 1.0205086867182882 0 0
 290 39856 0 -0.0015283646356186863 1.020593716355007 0 0
 291 39847 0 -0.0015266838397854936 1.020688705474376 0 0
 292 39846 0 -0.0015331646470272172 1.0207917709563232 0 0
 293 39840 0 -0.0015672571819288364 1.0208607036256327 0 0
 294 39849 0 -0.001600252049388442 1.0209914246572511 0 0
 295 39850 0 -0.0015963946761729747 1.0210678833202826 0 0
 296 39858 0 -0.001597997651323499 1.0211680654469841 0 0
 297 39852 0 -0.0016038281750286344 1.0213010061181598 0 0
 298 39857 0 -0.001596412175296102 1.0214271391442284 0 0
 299 39849 0 -0.001607825941793181 1.0215488418655583 0 0
 300 39851 0 -0.0015942982440240664 1.0216397716527827 0 0
 301 39853 0 -0.0016043719370053462 1.0217165225801816 0 0
 302 39851 0 -0.0016275956530293653 1.021823299128807 0 0
