 "time" "normal population" "cancer population" "average motility" "average consumption rate" "average cancer motility" "average cancer consumption rate"patch_inflammation:0
 333 10112 0 -0.0023651508655016204 1.0048959058037676 0 0
 334 10115 0 -0.002330150324484297 1.0048811661769335 0 0
 335 10113 0 -0.0023532759720109294 1.0048939609168888 0 0
 336 10115 0 -0.002311229882809529 1.0049580499496447 0 0
 337 10111 0 -0.002292937048519307 1.0050095589551333 0 0
 338 10108 0 -0.002338504257226084 1.0049967116808811 0 0
 339 10111 0 -0.0022933699365934777 1.0050224421619345 0 0
 340 10114 0 -0.0022805710364285432 1.0050512778489133 0 0
 341 10112 0 -0.0023003794878015665 1.0050412445074335 0 0
 342 10114 0 -0.0022996137308162533 1.0050411505148853 0 0
 343 10118 0 -0.002326849003343594 1.0050600011205082 0 0
 344 10121 0 -0.0023252622717630958 1.0051526876797063 0 0
 345 10121 0 -0.0023429151536463167 1.0051684374218797 0 0
 346 10122 0 -0.0023370736309891492 1.0051455233466708 0 0
 347 10120 0 -0.002388796331951502 1.005217230658501 0 0
 348 10122 0 -0.0023929281338498313 1.0052347209187722 0 0
 349 10120 0 -0.002394446358649381 1.0052424022043769 0 0
 350 10121 0 -0.0024087660057893886 1.005270828020787 0 0
 351 10123 0 -0.0024605736619092754 1.0052793682917711 0 0
 352 10122 0 -0.002455612929695458 1.0052681518047595 0 0
 353 10127 0 -0.002442700984445736 1.0052828426730986 0 0
 354 10124 0 -0.0024142534166474187 1.0052692533929182 0 0
 355 10123 0 -0.002406262247662575 1.0052422017141405 0 0
 356 10127 0 -0.002440278523206578 1.0052768858331886 0 0
 357 10131 0 -0.002486348104657453 1.0052758389812988 0 0
 358 10132 0 -0.0024840931598853113 1.0053140075066918 0 0
 359 10131 0 -0.00250714277146062 1.005305133739447 0 0
 360 10140 0 -0.0025242491275479203 1.0053801166591236 0 0
 361 10145 0 -0.002555161309496124 1.0054179163284904 0 0
 362 10147 0 -0.0026162900687669547 1.005460821922638 0 0
 363 10141 0 -0.0026650900239308384 1.0054995738620154 0 0
 364 10143 0 -0.002682546990649737 1.0054866367278885 0 0
 365 10149 0 -0.0026669315728711173 1.0055246511656752 0 0
 366 10160 0 -0.0026876685018647306 1.0055698486944862 0 0
 367 10158 0 -0.002699225349311735 1.0055862569518275 0 0
 368 10162 0 -0.0026372742440447243 1.0056211462681817 0 0
 369 10167 0 -0.0026316067730992585 1.00562081603927 0 0
 370 10175 0 -0.002666464849060648 1.0056177307477747 0 0
 371 10179 0 -0.002691611310023428 1.0056648458881485 0 0
 372 10178 0 -0.0027347247178185906 1.0056612107698697 0 0
 373 10187 0 -0.0027211009158211097 1.0056685519356576 0 0
 374 10192 0 -0.0027843092096658966 1.0056482532080098 0 0
 375 10186 0 -0.0027613686376332038 1.0056609539212964 0 0
 376 10194 0 -0.002811357023905033 1.0057079112788456 0 0
 377 10194 0 -0.002840581493578272 1.0057246880448454 0 0
 378 10195 0 -0.0028504804589353757 1.0057397547772815 0 0
 379 10200 0 -0.0028480572653151576 1.0057673321151173 0 0
 380 10207 0 -0.002809556270793792 1.005782971157882 0 0
 381 10203 0 -0.002856951914226596 1.0058489526253305 0 0
 382 10208 0 -0.0028766554835045395 1.0058821351075775 0 0
 383 10213 0 -0.0028865332557150214 1.005923986298802 0 0
 384 10215 0 -0.0028714235195427353 1.0059433842393881 0 0
 385 10221 0 -0.002917892472824001 1.00604070855655 0 0
 386 10220 0 -0.0029146686095514835 1.0059999071476913 0 0
 387 10220 0 -0.002978278208390031 1.0060282891813623 0 0
 388 10225 0 -0.002969629194813096 1.005995271931665 0 0
 389 10224 0 -0.002997672555959921 1.0060001034583317 0 0
 390 10227 0 -0.00306157869886685 1.0060057041410626 0 0
 391 10236 0 -0.003050369538826334 1.0060581287543724 0 0
 392 10235 0 -0.0031198327622833206 1.0061243476534985 0 0
 393 10237 0 -0.0031180729570593852 1.0061527711135534 0 0
 394 10236 0 -0.003118834689858118 1.0061656689520009 0 0
 395 10248 0 -0.0030920153275271083 1.0062475352162261 0 0
 396 10247 0 -0.003097534893145946 1.0061855605131542 0 0
 397 10242 0 -0.0030630925734717535 1.0062114849778454 0 0
 398 10242 0 -0.0030538261559025026 1.0062658272638914 0 0
 399 10251 0 -0.003074971089901746 1.0063317990760314 0 0
 400 10259 0 -0.0030211179766429187 1.0063775948955578 0 0
 401 10261 0 -0.0029519454606388718 1.0063921022867857 0 0
 402 10268 0 -0.00295792676790593 1.0063486453024515 0 0
 403 10269 0 -0.0029876825716893605 1.0063425723137258 0 0
 404 10270 0 -0.003066157740941395 1.0063750083470142 0 0
 405 10269 0 -0.003097862440622408 1.0063650907274284 0 0
 406 10270 0 -0.003142454663565512 1.0063873795110334 0 0
 407 10274 0 -0.003157014735722003 1.0064321381898143 0 0
 408 10275 0 -0.003150932595888655 1.0064661096701377 0 0
 409 10274 0 -0.003129698430524608 1.006536977793027 0 0
 410 10281 0 -0.003159034303369783 1.0065593745829142 0 0
 411 10286 0 -0.003160351813812942 1.0066084491350602 0 0
 412 10282 0 -0.0032003516793162653 1.006654232380504 0 0
 413 10286 0 -0.0031923899776286537 1.006716244329125 0 0
 414 10290 0 -0.0031726829791319856 1.0066840012753555 0 0
 415 10292 0 -0.0031483147493449244 1.0067329628449448 0 0
 416 10293 0 -0.003194994373502574 1.0067498419176433 0 0
 417 10299 0 -0.0032050166153183824 1.0068170402801504 0 0
 418 10298 0 -0.0031801463768978424 1.0068625115966243 0 0
 419 10302 0 -0.0032487070308855203 1.006930667171497 0 0
 420 10304 0 -0.003226233608036133 1.0068874486042534 0 0
 421 10308 0 -0.0033184979545869743 1.0068970476830608 0 0
 422 10308 0 -0.0033297666441847273 1.0069243358798892 0 0
 423 10313 0 -0.0033560387974506567 1.0069216192325032 0 0
 424 10314 0 -0.003345432299120349 1.0069021199095536 0 0
 425 10312 0 -0.00339598529674914 1.0069265656184945 0 0
 426 10316 0 -0.003428639137874573 1.006952460735386 0 0
 427 10315 0 -0.0034406084520798744 1.007047316800469 0 0
 428 10318 0 -0.0034689391931747916 1.0070310808071892 0 0
 429 10326 0 -0.0035261590687648927 1.0070779942399304 0 0
 430 10333 0 -0.003529494924786371 1.0071222479760469 0 0
